Job Title,Location,Salary_Raw,Job_Description_HTML,Posted_Date,Job_Url
MS Dynamics 365 Techno-Functional,N/A,Competitive,"&nbsp;We</span> are looking for a skilled <p>professional&nbsp; to join &amp;our<strong> &nbsp;team.<div> <strong>You</span> should <div>have<p> experience with React, Model-driven Apps, Dataverse, PCF Controls, Canvas Apps. Role involves building solutions on the Microsoft Stack.",2025-11-23,https://gigs.tech/job/7492
Power Platform Arch.,Texas,Competitive,"We are looking for a skilled professional to <strong>join<strong> our team. </span>You<p> should have <br>experience</span> with TypeScript, React, Azure Functions, JavaScript, Model-driven <strong>Apps.<br> </span>Role</span> involves building solutions on the </span>Microsoft&amp; <strong>Stack.<strong> Salary range is <br>$90,000</span> - $110,000 &nbsp;depending<p> on exp.",2025-12-13,https://gigs.tech/job/1919
SharePoint & Power Platform Specialist,N/A,116 USD/hr,"We are <div>looking</span> for a skilled professional to join our team. You should have experience with TypeScript, Canvas Apps. Role involves building solutions on <div>the&nbsp; Microsoft Stack.",2025-12-17,https://gigs.tech/job/2900
Dynamics 365 CE/Sales Developer,"London, UK",$104k - $170k,"We are looking for a skilled professional to join our team. You should have experience with Model-driven Apps, &nbsp;Canvas&nbsp; Apps. Role involves building solutions on the Microsoft <p>Stack.<p>",2025-11-22,https://gigs.tech/job/5237
AI/Copilot Integration Specialist,N/A,Competitive,"We are looking for a skilled professional to join our team. You should <br>have<div> experience with Business Central, Model-driven Apps, SQL, &nbsp;Azure&amp; Functions, Power Automate. Role involves building solutions on the Microsoft Stack.",2025-11-27,https://gigs.tech/job/2664
SharePoint & Power Platform Specialist,Texas,Competitive,"We are looking for a skilled professional to <p>join&amp; our team. You should have experience <p>with&nbsp; React, Power Automate, Canvas Apps, Azure <div>Functions.</span> Role involves building solutions on the Microsoft Stack.",2025-12-11,https://gigs.tech/job/4648
Dynamics 365 CE/Sales Developer,N/A,$149k - $176k,"We are &amp;looking</span> for a skilled professional to join </span>our&amp; team. You should have experience <p>with&amp; Model-driven Apps, Azure Functions, JavaScript, Copilot Studio, C# </span>Plugin&amp; Dev. Role involves building solutions on the Microsoft Stack.",2025-11-21,https://gigs.tech/job/7154
Power Platform Arch.,"London, UK",$103k - $189k,"<div>We<p> are <br>looking&nbsp; for a skilled professional to join our team. You should have experience with Dynamics 365 Sales, TypeScript. Role </span>involves&nbsp; building solutions on the Microsoft Stack. <br>We<p> offer a package <p>around<p> 120k.",2025-11-28,https://gigs.tech/job/9240
Junior Power Automate Eng,"Toronto, ON",,"We are looking for <div>a</span> skilled </span>professional<br> to join our team. You should <strong>have<div> <div>experience<strong> with Business Central, Power Pages, PCF Controls. Role involves building solutions on the Microsoft Stack. Competitive hourly <p>rate<div> of $60-80/hr.",2025-11-29,https://gigs.tech/job/3710
SharePoint & Power Platform Specialist,Texas,,"We are <p>looking<div> for a skilled professional to join our team. You should have experience with Model-driven Apps, Azure &nbsp;Functions.<p> Role involves building solutions on the Microsoft Stack. Pay is <br>commensurate<br> with &amp;experience.<br>",2025-12-10,https://gigs.tech/job/6617
Copilot Studio Bot Builder,United States (Remote),,"We &amp;are&nbsp; </span>looking<p> for a skilled professional to join <div>our<br> team. You should have &nbsp;experience<p> with PCF Controls, Copilot Studio. </span>Role<div> involves building solutions on the Microsoft Stack. Pay is commensurate with experience.",2025-11-22,https://gigs.tech/job/7357
D365 F&O Consultant,"San Francisco, CA",Competitive,"We are looking <br>for</span> <p>a<p> skilled professional to join our team. You <div>should</span> have experience with Canvas &amp;Apps,<strong> Business </span>Central,<p> TypeScript, &amp;JavaScript.<p> Role involves building <strong>solutions<p> <strong>on<br> the Microsoft Stack.",2025-11-23,https://gigs.tech/job/1392
Microsoft PowerApps Dev,"Toronto, ON",88 USD/hr,"&amp;We<div> are looking for a &amp;skilled<div> professional to join our team. You should have experience with Azure Functions, Power Automate. <div>Role<div> involves &amp;building<p> solutions on the Microsoft Stack.",2025-11-27,https://gigs.tech/job/6304
Power BI Data Analyst,Remote,,"We are looking for a skilled professional to join our team. You should <br>have<strong> experience with Dynamics &amp;365&amp; Sales, Canvas Apps, <strong>TypeScript,<div> Model-driven Apps. Role <br>involves<strong> building solutions &amp;on</span> the Microsoft Stack.",2025-11-25,https://gigs.tech/job/7702
power bi data analyst,"Toronto, ON",55 USD/hr,"We are &nbsp;looking&nbsp; for a skilled professional to join our team. You should have experience with Business Central, Canvas Apps, React, SQL. Role involves building solutions on the Microsoft Stack.",2 days ago,https://gigs.tech/job/6339
Junior Power Automate Eng,United States (Remote),Competitive,"We &amp;are&nbsp; looking &amp;for<strong> a skilled professional to join our team. You should have experience <br>with&nbsp; Canvas Apps, <br>React,<strong> TypeScript, Power Pages. Role </span>involves<br> &amp;building&amp; solutions on the Microsoft Stack.",2025-12-13,https://gigs.tech/job/8431
Copilot Studio Bot Builder,"London, UK",,"We are looking for a skilled professional to join our team. You should have <div>experience&amp; with <br>Copilot<strong> Studio, Power Automate. Role involves building solutions on the Microsoft Stack.",2025-11-23,https://gigs.tech/job/6988
Copilot Studio Bot Builder,"London, UK",,"We are looking for a skilled professional to join our team. You should have <div>experience&amp; with <br>Copilot<strong> Studio, Power Automate. Role involves building solutions on the Microsoft Stack.",2025-11-23,https://gigs.tech/job/6988
Dynamics 365 Developer,Texas,98 USD/hr,"We are <p>looking&amp; for a &nbsp;skilled&nbsp; professional to join our team. &nbsp;You&amp; should &nbsp;have</span> experience with Dataverse, Power &amp;Automate,<p> Dynamics 365 Sales, Power Pages. Role involves building solutions on the Microsoft Stack.",2025-12-15,https://gigs.tech/job/6374
D365 F&O Consultant,United States (Remote),105 USD/hr,"We are looking for <p>a<strong> skilled professional to join <p>our</span> team. You should have experience with C# Plugin Dev, Copilot Studio, <strong>PCF<strong> Controls, Business Central. Role involves building solutions on the Microsoft Stack.",2 days ago,https://gigs.tech/job/1960
D365 F&O Consultant,United States (Remote),105 USD/hr,"We are looking for <p>a<strong> skilled professional to join <p>our</span> team. You should have experience with C# Plugin Dev, Copilot Studio, <strong>PCF<strong> Controls, Business Central. Role involves building solutions on the Microsoft Stack.",2 days ago,https://gigs.tech/job/1960
Power Platform Arch.,"London, UK",,"We are looking for a </span>skilled&amp; professional to join <div>our&amp; <div>team.<p> You should have <div>experience<strong> with &amp;Business</span> Central, JavaScript, Dataverse, SQL, TypeScript. Role involves building solutions <p>on<p> the Microsoft Stack. Daily rate: <br>$500<br> <strong>-&amp; $650.",2025-12-15,https://gigs.tech/job/3966
Power Platform Arch.,"London, UK",,"We are looking for a </span>skilled&amp; professional to join <div>our&amp; <div>team.<p> You should have <div>experience<strong> with &amp;Business</span> Central, JavaScript, Dataverse, SQL, TypeScript. Role involves building solutions <p>on<p> the Microsoft Stack. Daily rate: <br>$500<br> <strong>-&amp; $650.",2025-12-15,https://gigs.tech/job/3966
SharePoint & Power Platform Specialist,See Job Desc.,Competitive,"We are &amp;looking<div> for a skilled professional <p>to</span> join our team. You should <br>have<div> experience with Power <strong>Automate,<strong> JavaScript, <strong>PCF&amp; Controls, Canvas <p>Apps,</span> TypeScript. <div>Role<br> involves building solutions on the Microsoft Stack. Pay is <div>commensurate<p> with experience.",2025-12-06,https://gigs.tech/job/4770
MS Dynamics 365 Techno-Functional,Texas,,"We are <strong>looking<br> for a skilled professional to join our team. You should have <p>experience<p> with <div>Dynamics<br> <p>365&amp; Sales, Dataverse, Power Automate. Role involves building solutions on the Microsoft Stack. Compensation: $100k <p>base&nbsp; &nbsp;+</span> bonus.",2025-11-28,https://gigs.tech/job/4261
POWER BI DATA ANALYST,"New York, NY",,"We are looking for a skilled professional to join our team. You should have experience with Power Pages, Azure Functions. &amp;Role<strong> involves <strong>building</span> solutions on &nbsp;the<p> <div>Microsoft&nbsp; Stack.",2025-11-30,https://gigs.tech/job/4473
Microsoft PowerApps Dev,Berlin,,"We <div>are</span> looking for a </span>skilled</span> professional to join </span>our<br> team. You should have experience <p>with<div> C# Plugin </span>Dev,&amp; </span>Model-driven&nbsp; Apps. Role involves building solutions </span>on&nbsp; <strong>the&amp; <strong>Microsoft</span> Stack. We offer a package around 120k.",2025-11-30,https://gigs.tech/job/5962
Dynamics 365 Developer,"San Francisco, CA",Competitive,"We are looking for </span>a</span> skilled professional to join our team. You should have experience </span>with<strong> Canvas Apps, TypeScript, Dynamics 365 Sales. Role involves building solutions <div>on</span> the Microsoft Stack. Pay is commensurate with experience.",2025-11-28,https://gigs.tech/job/5122
Power BI Data Analyst,"New York, NY",,"We are looking for a skilled professional <strong>to<div> join our team. You should have experience with Canvas Apps, React. Role involves </span>building<strong> solutions on the Microsoft Stack.",2025-12-13,https://gigs.tech/job/7495
d365 f&o consultant,"New York, NY",66 USD/hr,"We &amp;are&amp; looking for a skilled professional <strong>to<div> join our team. You should have experience with &nbsp;Power</span> Automate, SQL, TypeScript. Role involves building solutions <strong>on<p> the Microsoft </span>Stack.<strong>",2025-12-04,https://gigs.tech/job/8715
AI/Copilot Integration Specialist,See Job Desc.,,"We &nbsp;are<br> looking for a skilled professional to join our team. You should have experience with PCF Controls, Dataverse, &nbsp;Model-driven<br> Apps, React, JavaScript. Role involves building solutions on the Microsoft </span>Stack.&nbsp;",2025-11-28,https://gigs.tech/job/5970
SharePoint & Power Platform Specialist,Texas,,"We are looking for a skilled professional to </span>join<p> our team. You should have experience with Dynamics 365 Sales, React, Business Central, &nbsp;Azure<div> Functions, Dataverse. Role involves building &nbsp;solutions<div> on the Microsoft Stack.",2025-11-18,https://gigs.tech/job/1184
dynamics 365 developer,Hybrid - Chicago,$82k - $180k,"We are looking for a skilled professional to join our team. You should &nbsp;have&nbsp; experience with <br>Canvas<strong> Apps, Copilot Studio, <br>Dataverse,&amp; TypeScript. Role involves building solutions <p>on</span> the Microsoft Stack.",2025-12-07,https://gigs.tech/job/2979
dynamics 365 developer,Hybrid - Chicago,$82k - $180k,"We are looking for a skilled professional to join our team. You should &nbsp;have&nbsp; experience with <br>Canvas<strong> Apps, Copilot Studio, <br>Dataverse,&amp; TypeScript. Role involves building solutions <p>on</span> the Microsoft Stack.",2025-12-07,https://gigs.tech/job/2979
Copilot Studio Bot Builder,Hybrid - Chicago,$99k - $185k,"We are looking for a skilled professional to join our team. <div>You<p> should <div>have</span> experience with Dataverse, React. Role involves building </span>solutions<br> <div>on&amp; the Microsoft Stack.",2025-12-09,https://gigs.tech/job/8881
Junior Power Automate Eng,United States (Remote),,"We are looking for a skilled professional to join our team. You <p>should<strong> have experience with PCF Controls, Copilot Studio, Dynamics 365 <p>Sales.<br> Role &amp;involves&amp; building solutions on the Microsoft Stack. Compensation: $100k base <strong>+&amp; bonus.",2025-12-04,https://gigs.tech/job/7578
Copilot Studio Bot Builder,Berlin,95 USD/hr,"We are looking for a skilled professional to join our team. You should have experience with Model-driven <div>Apps,<div> TypeScript, <br>React,<strong> Business Central. Role involves &amp;building&amp; solutions on the Microsoft &nbsp;Stack.&amp;",2025-11-28,https://gigs.tech/job/3582
Lead Dynamics CRM,Bangalore,,"We are <strong>looking<p> for a <strong>skilled&amp; professional to join our team. You should have experience with PCF Controls, Model-driven Apps, Copilot Studio, Power Pages, C# Plugin <strong>Dev.<div> Role involves building solutions on the Microsoft Stack.",2025-11-18,https://gigs.tech/job/6898
Power BI Data Analyst,Hybrid - Chicago,80 USD/hr,"We </span>are<br> <div>looking&nbsp; for a skilled professional to join our <br>team.&nbsp; You &amp;should&amp; have experience with Business Central, <div>Copilot&amp; Studio, Azure Functions, Dynamics 365 Sales, TypeScript. Role involves building solutions <p>on&amp; the Microsoft Stack. Compensation: $100k base + bonus.",2025-11-17,https://gigs.tech/job/8758
Power Platform Arch.,See Job Desc.,,"We are looking for a skilled professional to join our team. You should have experience with Model-driven Apps, Copilot Studio. <p>Role<strong> involves building solutions on <strong>the<strong> <strong>Microsoft&nbsp; Stack.",2025-12-17,https://gigs.tech/job/7419
POWER BI DATA ANALYST,See Job Desc.,$104k - $179k,"We are looking for a skilled professional to join our team. You <br>should&nbsp; have experience &amp;with<strong> Dataverse, TypeScript. Role <strong>involves&amp; building solutions on the Microsoft Stack.",2025-11-29,https://gigs.tech/job/9469
POWER BI DATA ANALYST,See Job Desc.,$104k - $179k,"We are looking for a skilled professional to join our team. You <br>should&nbsp; have experience &amp;with<strong> Dataverse, TypeScript. Role <strong>involves&amp; building solutions on the Microsoft Stack.",2025-11-29,https://gigs.tech/job/9469
MS Dynamics 365 Techno-Functional,Texas,,"We are <div>looking<div> for a skilled professional <strong>to<strong> <p>join<div> our team. You should have experience &amp;with<p> <p>PCF</span> Controls, Power Pages, Canvas </span>Apps,&nbsp; Model-driven &nbsp;Apps,<strong> Azure Functions. Role involves building </span>solutions</span> on the Microsoft Stack.",2025-11-30,https://gigs.tech/job/8668
Dynamics 365 CE/Sales Developer,"New York, NY",$131k - $165k,"We are &amp;looking<strong> <div>for<div> <div>a<p> skilled professional to join our team. You should have experience with &nbsp;C#&amp; Plugin Dev, Copilot Studio. Role involves <p>building</span> <strong>solutions<div> on the &nbsp;Microsoft</span> Stack.",2025-12-08,https://gigs.tech/job/7796
Junior Power Automate Eng,N/A,86 USD/hr,"We are looking for a skilled professional to join our team. You should <br>have</span> experience with TypeScript, Dynamics 365 Sales, Azure Functions, SQL. Role involves building solutions on <strong>the&nbsp; <br>Microsoft<strong> Stack. &nbsp;Daily&amp; rate: <p>$500&nbsp; - $650.",2025-12-11,https://gigs.tech/job/5249
D365 F&O Consultant,"Toronto, ON",,"We are looking for a skilled professional to <p>join</span> our <p>team.</span> You should have experience with Business Central, React, Canvas Apps, Dataverse, Power Automate. Role involves <strong>building&nbsp; solutions &nbsp;on<br> the Microsoft Stack. Daily rate: $500 - $650.",2025-12-16,https://gigs.tech/job/1051
Microsoft PowerApps Dev,"San Francisco, CA",$96k - $189k,"&nbsp;We<p> are looking for a skilled professional to <strong>join<div> our team. You <br>should<p> have experience with Model-driven Apps, Dataverse, Canvas Apps, Azure Functions, </span>Copilot<p> <br>Studio.&nbsp; Role involves building &amp;solutions</span> <strong>on<strong> <div>the<div> Microsoft Stack.",2025-12-03,https://gigs.tech/job/2265
Copilot Studio Bot Builder,"Toronto, ON",,"We are looking for a skilled professional <div>to<p> join our &nbsp;team.<div> You should have experience &nbsp;with<strong> Model-driven Apps, Power Pages. Role involves building solutions on the Microsoft Stack.",2025-12-17,https://gigs.tech/job/9233
Power BI Data Analyst,Remote,,"We are </span>looking&nbsp; for a skilled professional to join our team. You should </span>have<strong> experience &amp;with<strong> JavaScript, Canvas Apps, Azure Functions, Dataverse. Role &amp;involves<strong> building <strong>solutions<p> on <br>the<br> <br>Microsoft<div> &nbsp;Stack.<div> Compensation: $100k base + bonus.",2025-11-26,https://gigs.tech/job/9459
Microsoft PowerApps Dev,"San Francisco, CA",,"We are looking for a skilled professional to join our team. You should have experience with Power Automate, Power Pages, JavaScript. Role &nbsp;involves<div> building solutions on the Microsoft Stack.",2025-12-12,https://gigs.tech/job/2364
Power BI Data Analyst,"New York, NY",$104k - $188k,"We are looking for a skilled professional to join our team. You <div>should&amp; have experience &amp;with<p> Azure Functions, Power Automate. Role involves building solutions on the Microsoft Stack.",2025-11-30,https://gigs.tech/job/5415
SharePoint & Power Platform Specialist,"Toronto, ON",,"We are looking for a skilled professional to join our <p>team.&nbsp; </span>You&amp; should have experience with SQL, TypeScript, React, PCF Controls. Role involves building solutions on the Microsoft Stack. Pay is commensurate with &amp;experience.&nbsp;",2025-11-22,https://gigs.tech/job/7025
Dynamics 365 Developer,United States (Remote),$128k - $175k,"We are &amp;looking<br> &amp;for</span> a skilled professional to join <strong>our<div> <br>team.<p> You should have experience with <br>JavaScript,<br> &amp;TypeScript,&nbsp; <div>Canvas</span> Apps. Role involves building <div>solutions&nbsp; on the Microsoft Stack.",2025-11-22,https://gigs.tech/job/3871
Dynamics 365 Developer,United States (Remote),$128k - $175k,"We are &amp;looking<br> &amp;for</span> a skilled professional to join <strong>our<div> <br>team.<p> You should have experience with <br>JavaScript,<br> &amp;TypeScript,&nbsp; <div>Canvas</span> Apps. Role involves building <div>solutions&nbsp; on the Microsoft Stack.",2025-11-22,https://gigs.tech/job/3871
Power BI Data Analyst,United States (Remote),$105k - $178k,"<br>We&amp; are <br>looking&amp; for a skilled professional to join our team. You should have <p>experience<br> with &amp;Dataverse,<p> Azure Functions. Role &amp;involves<p> building <div>solutions<br> on </span>the<div> Microsoft Stack.",2025-12-04,https://gigs.tech/job/7892
Power Platform Arch.,"Toronto, ON",112 USD/hr,"We are looking for a skilled professional &nbsp;to&nbsp; join <br>our<div> team. You should have experience with JavaScript, SQL. Role involves &amp;building&nbsp; solutions <br>on<div> the Microsoft Stack. <br>Competitive<p> hourly rate of $60-80/hr.",2025-12-10,https://gigs.tech/job/1266
AI/Copilot Integration Specialist,Remote,,"We are looking &nbsp;for</span> a skilled professional to join our team. You should have experience with Canvas Apps, PCF Controls, Power &amp;Pages,<p> SQL, TypeScript. Role involves building solutions </span>on</span> the Microsoft Stack.",2025-12-12,https://gigs.tech/job/4329
Lead Dynamics CRM,Remote,,"We are looking &amp;for<div> a skilled </span>professional</span> to &nbsp;join<br> our team. You should <div>have&amp; &nbsp;experience</span> with Copilot Studio, JavaScript, <p>TypeScript.&amp; Role involves building solutions on the Microsoft Stack.",2025-12-15,https://gigs.tech/job/1142
Lead Dynamics CRM,"Toronto, ON",,"We are looking for a skilled professional to join our team. You &nbsp;should&nbsp; have &amp;experience<strong> with TypeScript, JavaScript, Canvas Apps. Role involves building solutions on the Microsoft Stack.",2025-11-24,https://gigs.tech/job/1752
SharePoint & Power Platform Specialist,United States (Remote),76 USD/hr,"We are looking for a skilled professional to join <br>our<p> team. You should have experience with SQL, JavaScript, Canvas <div>Apps,<strong> Dynamics 365 Sales, <div>Power</span> Pages. Role involves building solutions <strong>on<p> the Microsoft Stack.",2 days ago,https://gigs.tech/job/2116
Dynamics 365 Developer,United States (Remote),$123k - $179k,"&amp;We&nbsp; are <br>looking&nbsp; for a skilled professional <strong>to<strong> <strong>join<br> <strong>our&amp; team. You should have experience with Copilot Studio, C# &nbsp;Plugin</span> <br>Dev,&amp; SQL. Role involves building solutions &amp;on<strong> the <p>Microsoft&nbsp; <p>Stack.&nbsp;",2025-12-08,https://gigs.tech/job/8874
MS Dynamics 365 Techno-Functional,Bangalore,$94k - $177k,"We are looking for a skilled <div>professional<div> to join our team. You should have experience with C# Plugin Dev, TypeScript, React, Azure Functions. Role involves building solutions on the <p>Microsoft</span> Stack.",2025-11-19,https://gigs.tech/job/9001
Microsoft PowerApps Dev,Remote,95 USD/hr,"We are looking for a skilled professional to join our team. You should &amp;have<p> experience with Power Automate, Dynamics <div>365<strong> Sales, <br>Power&nbsp; Pages, Azure Functions, Dataverse. Role involves building solutions on &amp;the<p> Microsoft Stack.",2025-12-17,https://gigs.tech/job/5502
SharePoint & Power Platform Specialist,"New York, NY",Competitive,"We are &nbsp;looking<br> for a <div>skilled<div> professional </span>to<div> &nbsp;join<p> our team. You should <p>have<br> </span>experience&nbsp; with &nbsp;JavaScript,<br> <strong>PCF<div> Controls, C# Plugin Dev. Role <strong>involves&nbsp; building solutions on the <strong>Microsoft<p> Stack. &amp;Pay&nbsp; is <strong>commensurate<br> with experience.",2025-11-25,https://gigs.tech/job/6866
D365 F&O Consultant,"San Francisco, CA",Competitive,"We are looking for a skilled professional to join our <strong>team.<p> You should have experience with Copilot Studio, PCF Controls, C# Plugin Dev, Business Central, SQL. Role involves building solutions on the <div>Microsoft<p> Stack.",2025-11-17,https://gigs.tech/job/5455
COPILOT STUDIO BOT BUILDER,"Toronto, ON",117 USD/hr,"We are looking for a skilled professional to join our team. You should have experience with JavaScript, &amp;C#<div> Plugin Dev, PCF Controls, <br>Copilot&amp; <p>Studio,<div> Power Automate. </span>Role<strong> involves building solutions <strong>on<br> &amp;the<strong> Microsoft Stack.",2025-12-16,https://gigs.tech/job/1220
Copilot Studio Bot Builder,"London, UK",Competitive,"We are looking for a skilled professional to join our team. You <div>should&nbsp; <p>have<p> experience </span>with<p> Copilot Studio, Power Pages. Role involves <strong>building</span> solutions on &amp;the<strong> Microsoft Stack.",2025-12-10,https://gigs.tech/job/3959
dynamics 365 ce/sales developer,"Toronto, ON",Competitive,"We <br>are<br> looking for a skilled professional to join our team. You should have experience with &amp;Power<br> Pages, Canvas Apps, Power Automate. Role involves building solutions on the Microsoft Stack.",2 days ago,https://gigs.tech/job/2701
D365 F&O Consultant,"San Francisco, CA",Competitive,"<p>We<p> are looking <p>for</span> a skilled professional to join our team. You should <p>have<strong> experience with Business Central, Copilot Studio, <strong>SQL,</span> Model-driven Apps. Role </span>involves<p> building solutions &amp;on&amp; the Microsoft Stack.",2025-11-24,https://gigs.tech/job/8599
Dynamics 365 Developer,"New York, NY",$92k - $196k,"We are looking for a skilled professional to <div>join<br> our team. You should have experience with Dataverse, Power Automate, TypeScript, &nbsp;C#<br> Plugin Dev, Azure <br>Functions.</span> Role involves <div>building<br> solutions on the Microsoft Stack. Salary range is $90,000 - $110,000 depending on exp.",2025-12-07,https://gigs.tech/job/9432
Copilot Studio Bot Builder,N/A,,"<div>We<strong> are looking for a skilled professional to join our team. You should have experience <strong>with<p> Power Pages, PCF Controls, <div>Azure<p> <br>Functions.</span> <br>Role<br> involves building solutions <strong>on<strong> the Microsoft Stack.",2025-11-22,https://gigs.tech/job/5870
Dynamics 365 Developer,"London, UK",Competitive,"We are looking for a <strong>skilled</span> professional to join our team. You should have experience with Dataverse, Azure Functions, Power Automate, C# Plugin <br>Dev.<div> Role involves building solutions on the &nbsp;Microsoft<p> Stack. Daily rate: $500 - $650.",2025-11-29,https://gigs.tech/job/6674
AI/Copilot Integration Specialist,Hybrid - Chicago,Competitive,"We <p>are<div> </span>looking<p> for a skilled professional to join <div>our<br> team. You should have experience with Business Central, <br>PCF<p> Controls, Canvas Apps. Role involves building solutions on the &nbsp;Microsoft</span> Stack. Salary range is $90,000 - $110,000 depending on exp.",2025-11-26,https://gigs.tech/job/3338
Power BI Data Analyst,Hybrid - Chicago,,"We are looking for a <div>skilled<strong> professional to join our team. You should have experience <p>with&amp; Model-driven Apps, Copilot Studio, SQL, Canvas <p>Apps.<p> Role involves building solutions on the Microsoft Stack.",2025-11-26,https://gigs.tech/job/1948
Dynamics 365 CE/Sales Developer,"Toronto, ON",108 USD/hr,"We are looking for a skilled professional to join our team. You <p>should</span> <div>have<br> experience <br>with<strong> PCF Controls, SQL, Power Pages, React. Role <br>involves<p> building solutions on the Microsoft Stack.",2025-12-10,https://gigs.tech/job/5689
Copilot Studio Bot Builder,"New York, NY",,"We are looking for a skilled professional to join our team. You should have experience with &amp;Canvas<br> Apps, Business Central, Dynamics 365 Sales, Model-driven &nbsp;Apps,<strong> JavaScript. Role involves building solutions on the Microsoft Stack.",2025-12-05,https://gigs.tech/job/3037
Power Platform Arch.,"New York, NY",120 USD/hr,"We are <br>looking<p> </span>for<br> &amp;a<br> skilled professional to join our team. You should have experience with Canvas Apps, JavaScript. Role involves building solutions on the <br>Microsoft<div> Stack. Pay <br>is<div> commensurate with experience.",2025-12-08,https://gigs.tech/job/3976
Power Platform Arch.,"New York, NY",120 USD/hr,"We are <br>looking<p> </span>for<br> &amp;a<br> skilled professional to join our team. You should have experience with Canvas Apps, JavaScript. Role involves building solutions on the <br>Microsoft<div> Stack. Pay <br>is<div> commensurate with experience.",2025-12-08,https://gigs.tech/job/3976
Junior Power Automate Eng,N/A,$159k - $189k,"We are looking for a <p>skilled&amp; professional to join our team. You should </span>have&amp; experience with Azure Functions, Canvas Apps, Power Pages, C# &amp;Plugin<div> Dev. Role involves building solutions <br>on&amp; the Microsoft Stack. Competitive hourly rate of $60-80/hr.",2025-12-01,https://gigs.tech/job/8972
MS Dynamics 365 Techno-Functional,Bangalore,Competitive,"We are looking for a skilled &nbsp;professional&nbsp; to <p>join<br> our team. You <div>should</span> have experience &nbsp;with</span> JavaScript, &nbsp;C#<br> &amp;Plugin<div> Dev. Role involves building solutions &amp;on&amp; the Microsoft &amp;Stack.&nbsp;",2025-11-17,https://gigs.tech/job/4122
Junior Power Automate Eng,Texas,76 USD/hr,"<div>We</span> are looking <br>for<div> a skilled professional to <div>join</span> our team. &nbsp;You<strong> should have experience with PCF Controls, Dataverse. Role involves building <br>solutions&nbsp; on the <div>Microsoft<br> Stack.",2 days ago,https://gigs.tech/job/1947
Junior Power Automate Eng,Texas,76 USD/hr,"<div>We</span> are looking <br>for<div> a skilled professional to <div>join</span> our team. &nbsp;You<strong> should have experience with PCF Controls, Dataverse. Role involves building <br>solutions&nbsp; on the <div>Microsoft<br> Stack.",2 days ago,https://gigs.tech/job/1947
